time,theta_PID1_noload,theta_PID2_noload,theta_PID3_noload,theta_ref,Volt_PID1_noload,Volt_PID2_noload,Volt_PID3_noload
1.76,97.1215189091738,77.7359870374947,95.1314810267941,90,-0.331611679866831,6.47863168265152,0.329635163673569
1.77,98.8791191135734,81.00434852808,96.0752215293464,90,-0.955639299851176,5.53220450170906,0.0334316382343913
1.78,100.514348162602,84.3092016859274,96.9715192919684,90,-1.54059667154909,4.55029796645011,-0.246819801178969
1.79,102.010270827662,87.6117035769387,97.8114221918504,90,-2.08044293892041,3.54494367255123,-0.508577233845047
1.8,103.35255700659,90.8741947503178,98.5872150618457,90,-2.57000772731343,2.5280825446192,-0.749686130986149
1.81,104.529556634156,94.0605844609989,99.2924425640161,90,-3.00502114992494,1.51143422773925,-0.968382968065707
1.82,105.532335523375,97.1367071403978,99.9219147288447,90,-3.38213047307238,0.506372764334153,-1.16329367481731
1.83,106.354673406317,100.070646976527,100.471696148448,90,-3.6989038145028,-0.476190239672663,-1.33342725773524
1.84,106.993025890127,102.833027912183,100.939079958359,90,-3.95382140503386,-1.42591387416512,-1.47816497033121
1.85,107.446452448147,105.397266834525,101.322547865443,90,-4.14625508585078,-2.33312665179955,-1.59724543981684
1.86,107.716512923887,107.739788205276,101.621717579064,90,-4.27643684050347,-3.18891487919177,-1.69074618502538
1.87,107.807135334465,109.8401988623,101.837279078992,90,-4.34541727105696,-3.98519998853427,-1.75906197944867
1.88,107.724458018016,111.681422204941,101.970921207098,90,-4.35501502120277,-4.71480428904751,-1.80288052542772
1.89,107.476649375406,113.249791451872,102.025250101391,90,-4.30775822495691,-5.37150474271443,-1.82315591106605
1.9,107.073708609879,114.535102126104,102.003701001348,90,-4.20681911762662,-5.95007451397066,-1.82108032066787
1.91,106.527250969357,115.530624372358,101.91044494392,90,-4.05594298604092,-6.4463121867959,-1.79805446283365
1.92,105.85028104598,116.23307614269,101.750291841427,90,-3.85937265786753,-6.8570586834151,-1.75565716821719
1.93,105.056957687739,116.642558692723,101.528591387213,90,-3.62176973565657,-7.18020205508556,-1.69561459184829
1.94,104.162354029956,116.762456209393,101.251133174171,90,-3.34813377074304,-7.41467044583018,-1.6197694333727
1.95,103.182216062605,116.599301738266,100.924047336594,90,-3.04372054617504,-7.5604136531935,-1.53005056310035
1.96,102.132723016296,116.162611891269,100.553706939209,90,-2.71396059745019,-7.61837382498023,-1.42844341294491
1.97,101.030252678772,115.464693091672,100.146633240483,90,-2.36437904622059,-7.59044593644729,-1.31696145974972
1.98,99.8911545489968,114.520422350283,99.7094048521176,90,-2.00051775657427,-7.47942878765527,-1.1976190946975
1.99,98.7315335015106,113.347005763648,99.2485717050649,90,-1.62786074742447,-7.2889673448819,-1.07240613705454
2,97.5670463742175,111.96371808043,98.7705746160591,90,-1.25176370942133,-7.02348732254089,-0.943264213954086
2.01,96.412713612699,110.391626795733,98.2816711294165,90,-0.87738838218287,-6.68812296246492,-0.812065190806572
2.02,95.2827478081546,108.653304304736,97.7878681883631,90,-0.509642449091976,-6.28863901538244,-0.680591799740521
2.03,94.1904006588381,106.772531677069,97.2948620699998,90,-0.15312550400249,-5.8313479647717,-0.550520576701388
2.04,93.1478295709685,104.773997602902,96.8079858997228,90,0.18791846149378,-5.32302355598609,-0.423407181905822
2.05,92.1659847990259,102.682996011808,96.3321649458467,90,0.509641708533325,-4.77081170372942,-0.300674143668769
2.06,91.2545177114187,100.525125778007,95.871879784604,90,0.808626304194039,-4.18213984886861,-0.183601032551985
2.07,90.4217104597943,98.3259958025973,95.4311373207239,90,1.08191044754968,-3.56462582158839,-0.0733170416447566
2.08,89.6744270326085,96.1109386072001,95.0134495504208,90,1.32700754077528,-2.92598724252014,0.0292040801436054
2.09,89.0180853894685,93.9047353868876,94.6218198626879,90,1.54191807543448,-2.27395245733152,0.123146821393627
2.1,88.4566501054054,91.7313552562297,94.2587365919838,90,1.72513449668983,-1.61617395406306,0.20785453157222
2.11,87.9926447064357,89.6137111840161,93.926173461274,90,1.87563929447882,-0.960145157051842,0.282827999105363
2.12,87.6271826519533,87.5734348530271,93.6255964893531,90,1.99289664982464,-0.313121427479992,0.347722126958595
2.13,87.3600157176939,85.6306724046604,93.3579768806918,90,2.07683803566615,0.317953970617373,0.402340863880414
2.14,87.1895983568341,83.8039027378634,93.1238093698545,90,2.12784223430263,0.926518257641963,0.446630561853085
2.15,87.1131664674444,82.1097797313071,92.9231354558347,90,2.14671028729857,1.50645128070613,0.480671939772902
2.16,87.1268288727892,80.5629994507283,92.7555709343267,90,2.13463593816701,2.05213089976069,0.504670840006016
2.17,87.2256697272508,79.1761930934763,92.6203371177746,90,2.09317216316865,2.55848119678834,0.518947968326762
2.18,87.4038599949402,77.9598461130637,92.5162951236863,90,2.02419441108415,3.02101317967297,0.523927808962992
2.19,87.6547761099801,76.922243661386,92.4419826107414,90,1.92986118892242,3.4358577457194,0.520126905193198
2.2,87.9711239162591,76.0694421885079,92.3956523491669,90,1.81257263742615,3.79979076305795,0.508141692331811
2.21,88.3450659991293,75.4052667526456,92.3753120261285,90,1.67492773824465,4.11025022028554,0.4886360641898
2.22,88.7683505606813,74.9313333190793,92.3787647078593,90,1.51968078418935,4.36534548467489,0.462328846410842
2.23,89.2324400522772,74.6470950689007,92.4036494072505,90,1.34969772558505,4.56385879618459,0.42998134067442
2.24,89.7286378611014,74.5499114991217,92.4474812379512,90,1.1679129799816,4.7052392074446,0.392385092850116
2.25,90.2482114495479,74.6351388768899,92.5076906729291,90,0.977287260066952,4.78958925806444,0.350350026011652
2.26,90.7825104651003,74.8962404142115,92.5816614661891,90,0.780766936254854,4.81764474428182,0.304693066005851
2.27,91.3230784716399,75.3249143572016,92.6667668401824,90,0.581245406884217,4.79074801148731,0.256227373251416
2.28,91.8617570984162,75.9112380367016,92.7604035876206,90,0.381526901075566,4.71081525696282,0.205752279841271
2.29,92.3907815577601,76.6438258060161,92.8600237842091,90,0.184293087874028,4.58029838278779,0.154044016060489
2.3,92.902866644523,77.5099986971309,92.9631638575359,90,-0.00792718878802312,4.40214198391858,0.101847295320436
2.31,93.3912824967125,78.4959635593387,93.0674708063145,90,-0.192784785712308,4.17973609365304,0.0498678114489527
2.32,93.8499195654406,79.5869994036987,93.170725412755,90,-0.368133539992732,3.91686533786625,-0.00123431254673079
2.33,94.2733424107666,80.767648662842,93.270862338438,90,-0.532049803020422,3.61765517045525,-0.0508500995401532
2.34,94.6568321060568,82.0219110876995,93.3659870401383,90,-0.682848136040866,3.2865158753616,-0.0984263063095207
2.35,94.9964171950041,83.3334380398638,93.4543894861174,90,-0.819093129671327,2.92808502544448,-0.143469026802907
2.36,95.2888933004927,84.6857249993691,93.5345546950245,90,-0.939607363119047,2.54716908553278,-0.185546325228439
2.37,95.5318316312842,86.0623001912911,93.6051701583473,90,-1.04347556957935,2.14868483645552,-0.224289924923718
2.38,95.7235767694558,87.4469073391468,93.6651302430203,90,-1.13004512187782,1.7376012790735,-0.259395989307091
2.39,95.8632342472466,88.8236806768288,93.7135377030606,90,-1.19892299635857,1.31888265272351,-0.290625040471325
2.4,95.9506485353034,90.1773104918025,93.7497024577697,90,-1.24996941288961,0.897433171511938,-0.317801069097045
2.41,95.9863721642877,91.493197628445,93.7731378189652,90,-1.28328838430558,0.478044045090723,-0.340809896306379
2.42,95.9716267876973,92.7575955495299,93.7835543708041,90,-1.29921543936489,0.0653433084950393,-0.359596853830325
2.43,95.9082570650353,93.9577387336941,93.7808517229984,90,-1.29830280915992,-0.336251061057376,-0.374163853426303
2.44,95.7986783008424,95.0819563749434,93.7651083716165,90,-1.28130238776223,-0.722574313155487,-0.384565919870448
2.45,95.6458188165017,96.1197705445113,93.7365699112832,90,-1.24914679365385,-1.08975400566162,-0.390907264090951
2.46,95.4530580582509,97.0619781733424,93.6956358485388,90,-1.20292886920902,-1.43424468187396,-0.393336974146242
2.47,95.2241614568074,97.9007164128096,93.642845268548,90,-1.14387996123068,-1.75285788501693,-0.392044401837632
2.48,94.9632130519101,98.6295111297192,93.5788616064438,90,-1.0733473264585,-2.04278731128213,-0.387254321843714
2.49,94.6745468795801,99.2433084870346,93.5044567705624,90,-0.992771002253793,-2.30162896271097,-0.379221938444816
2.5,94.3626780917864,99.7384897519566,93.4204948579235,90,-0.903660474587707,-2.52739622107146,-0.3682278122491
2.51,94.0322347384295,100.112869656066,93.3279156927875,90,-0.807571463315483,-2.71852982287407,-0.354572775922436
2.52,93.6878910911652,100.365678806332,93.2277184072606,90,-0.706083128854079,-2.8739027731625,-0.338572903850572
2.53,93.3343033287307,100.497530809231,93.1209452690251,90,-0.600775985172155,-2.99282029110561,-0.320554596016935
2.54,92.9760483353309,100.510374921502,93.0086659456201,90,-0.493210781854478,-3.07501493315117,-0.300849831255669
2.55,92.6175662885648,100.407435178827,92.8919623776222,90,-0.384908593344417,-3.12063708906844,-0.279791639531702
2.56,92.2631076326355,100.193137076873,92.7719144148517,90,-0.277332326738926,-3.13024109214515,-0.257709837100434
2.57,91.9166849475219,99.8730229866642,92.649586350682,90,-0.171869831159078,-3.10476722670711,-0.234927062400375
2.58,91.5820301367199,99.4536575774704,92.5260144699264,90,-0.0698187621962508,-3.04551995364766,-0.211755144420508
2.59,91.2625572663965,98.9425245947137,92.4021957059209,90,0.0276266753151313,-2.95414270749648,-0.18849182914478
2.6,90.9613312986124,98.3479163975409,92.2790774825624,90,0.119387013486636,-2.83258964649511,-0.16541788358774
