time,theta_PID3_noload,theta_PID3,theta_ref,Volt_PID3_noload,Volt_PID3,torque
4.46,89.8432735553899,90.0130891065639,90,0.00640348310615386,7.19603200647893,4.5
4.47,89.8461842496594,90.0101357322241,90,0.00634504530710534,7.1961868455967,4.5
4.48,89.8490971947754,90.0072793361467,90,0.00627936678152513,7.19633417748836,4.5
4.49,89.8520103505982,90.004518037364,90,0.00620694850606111,7.19647428094454,4.5
4.5,89.8549215298268,90.001849797781,90,0.00612833880577064,7.19660747931699,4.5
4.51,89.8578284274577,89.9992724438887,90,0.0060441240827248,7.19673413386386,4.5
4.52,89.8607286502634,89.9967836888636,90,0.00595491961631145,7.19685463703078,4.5
4.53,89.8636197459066,89.9943811547578,90,0.00586136054725195,7.19696940575591,4.5
4.54,89.8664992313414,89.9920623944965,90,0.00576409314820929,7.19707887488205,4.5
4.55,89.8693646201767,89.989824913426,90,0.00566376647398991,7.19718349075204,4.5
4.56,89.8722134487144,89.9876661901691,90,0.00556102447381044,7.19728370505708,4.5
4.57,89.8750433004075,89.9855836965744,90,0.00545649863728164,7.19737996899978,4.5
4.58,89.8778518285193,89.9835749165664,90,0.00535080123460001,7.19747272782644,4.5
4.59,89.8806367767999,89.9816373637311,90,0.00524451920028464,7.19756241577462,4.5
4.6,89.8833959980353,89.9797685974951,90,0.00513820869859397,7.19764945147432,4.5
4.61,89.8861274703567,89.9779662377868,90,0.0050323903978703,7.19773423383298,4.5
4.62,89.8888293112349,89.9762279780885,90,0.00492754547039519,7.19781713842637,4.5
4.63,89.8914997891195,89.9745515968198,90,0.00482411232419201,7.19789851440999,4.5
4.64,89.8941373327115,89.9729349670119,90,0.00472248406353095,7.19797868195786,4.5
4.65,89.8967405378924,89.9713760642609,90,0.00462300666593176,7.19805793022862,4.5
4.66,89.8993081723588,89.9698729729667,90,0.00452597785510205,7.1981365158524,4.5
4.67,89.9018391780379,89.9684238908891,90,0.00443164664171559,7.19821466192526,4.5
4.68,89.9043326713837,89.9670271320669,90,0.00434021349726524,7.1982925574929,4.5
4.69,89.9067879416741,89.9656811281702,90,0.00425183112025626,7.19837035750004,4.5
4.7,89.9092044474453,89.9643844283632,90,0.00416660574910234,7.19844818317733,4.5
4.71,89.9115818112192,89.9631356977782,90,0.00408459897185175,7.19852612283419,4.5
4.72,89.913919812687,89.9619337147037,90,0.00400582997978544,7.19860423302229,4.5
4.73,89.9162183805255,89.9607773666062,90,0.00393027820938945,7.19868254003244,4.5
4.74,89.9184775830265,89.9596656451081,90,0.00385788631580927,7.19876104168512,4.5
4.75,89.9206976177265,89.958597640054,90,0.00378856342010574,7.19883970937412,4.5
